Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
Is the most popular sport in Montreal ice hockey?,"yes, The most popular sport in Montreal is ice hockey.",easy,easy
Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Japan,medium,medium
"Who was born in Newington Butts, near present-day South London, England?",Michael Faraday,,medium
Are there two common  word  orders?,yes,,easy
What is the earliest date of the trumpet?,1500 BC,medium,medium
Did Avogadro live in England?,No,easy,easy
Was Abraham Lincoln the first President of the United States?,No,easy,medium
What is an otter's den called?,A holt,medium,medium
What land animal has the largest brain?,The elephant,hard,hard
"Like many larger where cities, San Francisco is a minority-majority city, as non-Hispanic whites comprise less than half of the population?",U.S.,,medium
When did he publish another memoria?,1821,,medium
Does a large proportion of the population speak Swedish as its mother tongue?,No,hard,hard
Which is the sub-Saharan indigenous language with the greatest number of speakers?,Hausa,hard,hard
"Have other techniques been used to cause drums to make sound, such as the ``Thumb roll''?",Yes,,easy
Are there also a variety of regional languages In addition?,Yes,,medium
How many Swedish speakers were reported in Canada in 2001?,"16,915.",medium,medium
What notable people have been named Santiago?,"Benito, Hugo, and others",hard,hard
Do picks come in many shapes and sizes?,yes,easy,easy
How is the climate in the city?,Jakarta has a hot and humid equatorial/tropical climate ,medium,medium
Are turtles pets?,yes,easy,easy
Is Romania a secular state?,yes,easy,easy
Where do the majority of loanwords other than Sino-Korean come from?,modern times,hard,medium
What is a collective noun for kangaroos?,"Mob, troop, or court",medium,medium
Was Tesla born in the United States?,no,easy,easy
Which county was Lincoln born in?,Hardin County,medium,medium
What does Avogadro's Law state?,The relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights,medium,hard
What is one significant non-official language?,Chinese.,medium,medium
Can a flute be played with several different air sources?,Yes,easy,easy
What were some other names of the city?,Petrograd and Leningrad.,medium,easy
Is Crissy field an airfield,Yes,hard,easy
What prompted the city to upgrade its building codes,earthquakes,hard,hard
What principles did Newton explain for mechanics?,The principles of conservation of momentum and angular momentum,hard,hard
What part of an elephant is very important for temperature regulation?,Ears,medium,medium
Where is Uruguay's oldest church?,"San Carlos, Maldonado",medium,medium
What was founded by the Spanish in the early 18th century as a military stronghold?,Montevideo,,medium
What festival features fireworks  celebrating the end of the school year?,The White Nights Festival in Saint Petersburg,medium,hard
Grant was elected president as a Republican in what year?,1868,,medium
What makes San Francisco among the top-ten North American destinations for conventions and conferences,San Francisco has a large hotel infrastructure and a world-class convention facility in the Moscone Center,medium,medium
Does each type of drum head serve its own musical purpose?,yes,easy,easy
Who were Grover Cleveland's parents?,"Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal.",hard,hard
What is Monroe's father's name?,Spence,medium,medium
What arrived in Britain?,The first Canadian Army units in WW II,,easy
How did civil wars affect England during the Middle Ages?,London remained relatively untouched,hard,medium
Where do leopards often hide their kills?,in dense vegetation or in trees,medium,medium
Is the tuning G-D-A-E used for most violin music?,Yes,,easy
When was the 7th symphony premiered?,1942,,medium
Where did the construction of Fort Bourbon take place?,The construction of Fort Bourbon took place in Martinique.,hard,hard
Are pianos used in Western music?,Yes.,easy,easy
What are vehicles that frequent isolated roads often fitted with?,roo bars,medium,medium
Are panthers a type of tiger?,No.,easy,hard
Which harmonics can produce any notes above middle C? ,Artificial harmonics can produce any notes above middle C.,hard,hard
Where is Wilson buried?,He was buried in Washington National Cathedral,medium,medium
Where is there a Newton statue on display?,Oxford University Museum of Natural History ,medium,medium
Was his father member of the Sandemanian sect?,yes,,easy
How many groups are turtles broken down into?,two,medium,easy
What are Ottawa's primary industries?,Logging and lumber,medium,hard
Where is old Ghana in relation to present Ghana?,"500 miles north of the present Ghana, and occupied the area between Rivers Senegal and Niger",medium,medium
What do all turtles and tortoises breathe?,air,medium,easy
Did James Watt improve an engine?,"Yes, his improvements to the Newcomen steam engine were fundamental to the changes brought by the Industrial Revolution.",easy,easy
Do singaporeans enjoy squid?,yes,easy,easy
What are the two main groups of Portuguese dialects?,Those of Brazil and those of the Old World,medium,medium
Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?,George Washington,hard,medium
Where was Michael Faraday born?,Michael Faraday was born in Newington Butts.,medium,medium
Did the golden age of xylophones come before or after the first usage of the European-derived orchestral?,After.,hard,hard
Is Malay the official language of Iraq?,No,easy,hard
"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?",The Liechtenstein Dynasty acquired vast swaths of land,,medium
Are turtles being examined for longevity genes?,yes,easy,easy
Is it true that provinces have a large degree of autonomy?,yes,,easy
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,easy,easy
Why are Harp Guitars difficult to classify?,There are many variations within this type.,hard,medium
Is Uruguay's capital Montevideo?,yes,easy,easy
does the charge reside on the interior of a charged conductor?,No,hard,easy
Avogadro did not actually use what word?,atom,medium,medium
what is the name of the event that draws the worlds top riders to malaysia?,KL Grand Prix CSI 5*,hard,hard
How long may elephants live?,70 years,medium,medium
What Roman province was Liechtenstein part of?,Raetia.,hard,medium
Does the diet of foxes include reptiles?,yes,easy,easy
Did the Moche people worship lobsters?,yes.,hard,hard
"Why Churchill called the occupation of Singapor by Janpan during WWII ""Britain's greatest defeat""?",The British were defeated in six days,hard,hard
How many different names did Chinese writings give to the panda?,20,medium,hard
What makes it more difficult for a diving duck to fly?,they are heavier,hard,hard
When did he die?,June 24 1908,medium,medium
"What does ""Era of Good Feelings"" refers to?","Monroe allowed his political base to decay, which reduced tensions and led to the naming of his era as the ""Era of Good Feelings"".",hard,hard
Who has its own political legislature and governor ?,each province,,easy
"Is the smallest penguin species the little blue penguin -LRB- also known as the fairy penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2?",Yes,,easy
Is The climate in Uruguay temperate?,Yes,,easy
Are fennec foxes endangered?,No,easy,easy
Is Ghana in Asia?,no,easy,easy
Are ducks an accepted presence in some populated areas?,Yes,easy,easy
What happened in 1917?,"raised billions through Liberty loans, imposed an income tax, S08_set up the War Industries Board, promoted labor union growth, supervised agriculture and food production through the Lever Act, took over control of the railroads, and suppressed anti-war movements",,medium
Was Liechtenstein part of the ancient Roman province of Raetia?,Yes,easy,easy
Does the Australian Black Swan have white feathers on its wings?,Yes,easy,medium
What have clash cymbals traditionally been accompanied by?,Clash cymbals have traditionally been accompanied by the bass drum playing an identical part.,medium,medium
How many subspecies of the Giant Panda are there?,Two,medium,medium
How many letters are in the basic Latin alphabet?,26,medium,medium
Did Isaac Newton die in 1898?,No.,easy,easy
"What happened in a log cabin in summerhill , new york?",Fillmore was born,,easy
About how many square kilometers would be needed to house 3 female tigers?,60 square kilometers,hard,hard
Did Volta marry before he became professor of experimental physics at the University of Pavia?,no,hard,medium
How large is the population of San Francisco?,"The estimated population of San Francisco in the year 2008 was 808,976.",medium,medium
Why does most of Egypt's population live near the Nile?,The only arable agricultural land is found there,hard,hard
Why is a police whistle very wide for its pitch?,It's volume is high either because of its larger resonator or larger tone holes.,hard,medium
Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?,yes,,easy
"Are there 622,650 speakers of German In Canada?",Yes,,easy
Have elephants been used as working animals?,Yes,easy,easy
What is Monroe Doctrine?,"In it, Monroe proclaimed the Americas should be free from future European colonization and free from European interference in sovereign countries' affairs. It further stated the United States' intention to stay neutral in European wars and wars between European powers and their colonies, but to consider any new colonies or interference with independent countries in the Americas as hostile acts toward the United States. ",hard,hard
What do beetles eat?,"They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates",hard,hard
Is the otter in the same family as the badger?,yes,hard,easy
Loschmidt calculated first the value of what?,Avogadro's number,,medium
Was there a cholera outbreak in 1832?,yes,easy,easy
Who heavily influenced the architecture and culture of Montevideo?,European immigrants.,medium,medium
Did Coolidge get in Amherst College?,Yes,hard,medium
What is an example of something an octopus learned in a research experiment?,An octopus learned to solve mazes.,hard,hard
Did Ulysses win the Battle of Champion Hill?,you betcha,easy,hard
Were Slide trumpets the first trumpets allowed in the Christian church?,Slide trumpets were the first trumpets allowed in the Christian church. ,,easy
What is Jakarta?,Indonesia's special capital region,,hard
What do humans use bees for?,honey,hard,hard
What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel.",medium,hard
What did Uruguay win in 1828?,Its independence,,medium
Was Becquerel elected Permanent Secretary of the Académie des Sciences?,yes,,easy
Did Henri Becquerel live to be 80 years old?,no,,medium
When was a three-holed flute made from a mammoth tusk discovered?,In 2004,medium,medium
Who wrote the first novel in Finnish?,The first novel in Finnish was published by Aleksis Kivi.,hard,hard
Are ants used in cuisine?,yes,easy,medium
When did lombardy come under Napoleon`s rule?,From 1796 to 1815,,easy
Is german written using the Latin  alphabet?,Yes,,easy
How has Canada helped UN peacekeeping efforts?,"Canada has played a leading role in UN peacekeeping efforts. During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",hard,hard
Are most eels predators?,Yes,easy,easy
What happened to Copenhagen between 1251 and 1255?,a bunch of things,medium,hard
What includes a lengthy justification of why this species is listed as vulnerable?,Database entry.,,medium
"What part of the cymbal gets the best ""crash""?",Edge or rim,medium,medium
Is Adams' birthplace part of a national park?,Yes,easy,easy
"Does the name ``Nairobi'' come from the Maasai phrase Enkare Nyirobi, which translates to ``the place of cool waters''?",Yes.,,easy
"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?",Yes,,easy
Does Exposure to air cause the larva to begin breathing?,Yes (capitalization).,,easy
When did Proto-Uralic language arrive in Finland?,Around 1900 BCE,medium,medium
What resembles that of the similarly-sized cougar in the Americas?,The leopard's ecological role,,medium
What is the last word on the page?,(SSN-22),easy,hard
"Hence , can relative molecular masses be calculated from the masses of gas samples ?",yes,,easy
Who is the head of state of Ghana?,John Agyekum Kufuor,medium,medium
Did Pascal write about cycloid before 1658?,no,hard,hard
Do lobsters feel pain?,Yes,hard,medium
Did Bartolomeo Cristofori invent the modern piano?,Yes.,easy,medium
"Today, are there more cell phone subscriptions than people in Finland?",yes,hard,hard
What is the basic word order in Malay?,Subject Verb Object,medium,medium
Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Yes he did,,easy
How many municipalities are within Oberland?,6,hard,hard
The xylophone is an instrument from what family?,Percussion,medium,medium
Did he become chief engineer in the Department of Bridges and Highways?,Yes,,easy
Is it possible to open flutes at one or both ends?,Yes,easy,easy
Is the Giant Panda a mammal?,yes,easy,easy
Has Qatar a modern Telecommunication system centered in Doha ?,Yes,,easy
What did Jefferson call John Adams?,"The ""Colossus of Independence"".",medium,hard
Did Lincoln start his political career in 1832?,Yes,easy,easy
Did Lincoln win the election of 1860?,Yes,hard,hard
Do ants belong to the Hymenoptera order?,yes,easy,easy
What is panda diplomacy?,Loans of Giant Pandas to American and Japanese zoos,hard,hard
Is Canada a member of the OECD?,Yes.,easy,easy
Some versions of xylophones have resonators made of what?,Gourds.,medium,medium
Why do kangaroos have a wide bite?,The two sides of the lower jaw are not joined together and the lower incisors are farther apart.,hard,hard
Who achieved international fame as the leading Union general in the American Civil War?,Grant,,easy
Where did Nikola Tesla move to in 1880?,Budapest,medium,medium
How is Singapore's climate characterized?,Singapore has a tropical rainforest climate with no distinctive seasons.,hard,medium
What will a giraffe use to clean off any bugs that appear on its face?,It's extremely long tongue,medium,easy
Where was Woodrow Wilson born?,"Staunton, Virginia",medium,medium
Some versions of xylophones have resonators made of what?,gourds,medium,medium
Was Taipei founded in the 18th century?,Yes,easy,easy
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,6 days,hard,hard
When did the first official report of kangaroo blindness take place?,1994,medium,medium
Is it true that he became a professor in 1820?,yes,,easy
From what did Pascal suffer throughout his life?,ill health,medium,medium
Which countries established colonies in Canada?,France and Britain.,hard,hard
Why did Coolidge not attend law school?,It was too expensive,hard,hard
Was Thedore Roosevelt  a member of the Republican Party?,Yes,easy,easy
"Where did the expression ""a sitting duck"" come from?","In many areas, wild ducks of various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",hard,hard
What is caching food?,burying it for later consumption,hard,hard
Do they prefer forested areas?,Yes,easy,easy
Is Taipei in a valley?,Taipei is in the valleys of the Keelung and Xindian Rivers,easy,medium
"What is widely used by the Lebanese, especially for administrative purposes?",French,,medium
Is there a more industrialized region in malaysia?,No,hard,medium
Do wolves leave their pack?,They leave their birth pack when they reach sexual maturity,easy,medium
What has the most effect on how a drum sounds?,the drumhead,medium,medium
How many cymbals typically go in a drum kit?,at least 3,hard,hard
"Did Fillmore not turn down the honor , explaining that he had neither the `` literary nor scientific attainment '' to justify the degree ?",no,,easy
Was Vietnamese formally written using the Chinese writing system?,"Yes, Vietnamese was *formerly* written using the Chinese writing system.",easy,easy
Which species of zebra is known as the common zebra?,"Plains Zebra (Equus quagga, formerly Equus burchelli)",hard,medium
"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus,,medium
Did Coolidge graduate from Black River Academy?,Yes,easy,easy
Is Finnish an official language of the European Union?,Yes,easy,easy
Is eel blood toxic to humans?,Yes,easy,easy
Is Finnish threatened by English?,No,easy,easy
Have consonant clusters been lost?,Yes,medium,medium
Is otter a kind of mammal?,yes,easy,easy
Is Uruguay the smallest soverign nation in South America?,No,hard,hard
What was built to play in both B and A keys?,piccolo trumpets,hard,hard
Since when has Egypt been a republic?,June 18 1953.,medium,medium
Did Henri Becquerel intentionally discover radioactivity?,He discovered it accidentally,hard,medium
"Which album was the song ""The Bonny Swans"" from?",The Mask and Mirror,hard,medium
Are the prefixes en- and em- always nasalized ?,Yes,,easy
How do giraffes defend themselves?,With powerful kicks,medium,easy
Does Egypt's foreign policy operates along moderate lines?,Yes,easy,easy
What languages did Tesla speak?,"Serbian, Czech, English, French, German, Hungarian, Italian, and Latin",medium,medium
Are there any cities named Santiago in the United States?,yes,easy,hard
How many raised arms are extending from the sound-chest of a classical lyre?,Two,medium,medium
Do ducks forage underwater?,yes,easy,easy
Was Wilson a member of the Phi Kappa Psi fraternity?,Totally.\t,easy,easy
What is actually black in color?,A polar bear's skin.,,medium
The Historical Society of the Principality of Liechtenstein plays what?,a role in preserving the culture and history of the country.,,easy
Are cellos constructed with glue?,yes,easy,easy
What is the largest city in Romania?,Bucharest,medium,medium
What kind of ducks feed on land?,Dabbling ducks,medium,easy
Why are Harp Guitars difficult to classify?,as there are many variations within this type of guitar,hard,medium
What is polar bear's skin color?,Black,medium,easy
Is a cougar also known as a mountain lion?,A cougar is also known as a mountain lion.,easy,easy
How much increase in the media's contribution to GDP is the government seeking?,the government seeks to increase its GDP contribution to 3% by 2012. ,hard,medium
"Is singapore -LRB- ; (: ; , -RRB- , officially the republic of singapore -LRB- ; (: ; , -RRB- , an island nation located at the southern tip of the malay peninsula?",Yes,,easy
Who was Kwame Nkrumah?,founder and first president,medium,medium
Which Berlin building did architect Norman Foster remodel in the 1990s?,The Reichstag building was remodeled by architect Norman Foster in the 1990s.,hard,medium
Was Volta taught in public schools?,Yes.,easy,easy
Is Uruguay a member of the Cairns Group of exporters of agricultural products ?,Yes,,easy
What is the smallest suborder of turtles?,Pleurodira,hard,medium
What are the three sections of a beetle?,"The head, the thorax, and the abdomen",medium,medium
"When was he elected sheriff of Erire County, New York?",1870,medium,medium
Is the battente smaller than a classical guitar?,Yes,easy,medium
How do turtles reproduce?,they lay eggs,hard,hard
Can beetles be found in polar regions?,No,easy,hard
Did he publish his work?,Yes,,hard
When did Monroe's presidency expired?,"March 4, 1825",medium,medium
when did kuala lumpur become a federal territory of malaysia?,"February 1, 1974",medium,medium
Are Cubs born in December without awakening the mother ?,yes,,easy
What is the total number of Chinese words?,"The Hanyu Da Zidian includes 54,678 head entries for characters.",hard,hard
Who was Roosevelt's presidential hero?,Lincoln was Roosevelt's presidential hero.,medium,medium
What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,easy
How old was Pascal when he died?,1662-08-19.,hard,medium
What did Joseph Henry likely discover?,self-induction,medium,medium
Is Antwerp a municipality?,Yes,easy,easy
Do nearly all Qataris profess Islam?,Yes.,easy,easy
Where do wolves have scent glands?,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.,medium,medium
How does a trumpet produce sound?,By blowing air through closed lips.,medium,medium
What language besides Malay is in the Austronesia language family?,Malagasy,hard,medium
Does Romania share a border with Ukraine?,yes,easy,easy
How many species of true eels are there?,approximately 800 species,medium,medium
What has many possible meanings?,(What?),,hard
What did Anders Celsius determine about the boiling of water?,He determined the dependence of the boiling of water with atmospheric pressure.,easy,medium
Where is the James Watt Memorial College?,In Greenock.,medium,medium
Is the trumpet constructed of brass tubing bent twice into an oblong shape?,yes,,easy
"Are penguins considered ""higher waterbirds""?",Yes,easy,easy
When was James Monroe elected president?,"Monroe was elected president in the election of 1816, and re-elected in 1820.",medium,medium
Are adult ducks fast fliers?,Yes,easy,easy
Are elephant populations in West Africa generally small and fragmented?,Yes,easy,easy
Where is Finland located?,Northern Europe,hard,medium
Where did Wilson attend law school?,University of Virginia,medium,medium
How many years ago did African people spread across 31 francophone African countries can speak French either as a first or second language?,2 years ago,,hard
Does a polar bear live in the Arctic?,Yes,easy,easy
Where was Celsius born?,"Uppsala, Sweden",medium,medium
Do wolf pups tend to have darker fur than adults?,Yes,easy,easy
What is cause of polar bear's skin diseases?,Mites or other parasites,hard,medium
Is the electric eel a true eel?,"No, the electric eel is not a true eel.",easy,hard
Have there been other US presidents that have visited Cuba?,No,hard,medium
What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.,hard,medium
Was Calvin Coolidge the twenty-ninth vice president?,no,easy,easy
What is a hybrid animal resulting from a union between a leopard and a puma?,A pumapard,medium,medium
When did the first educational works appear for the cello?,18th century,hard,hard
Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?,Yes,,easy
Can the origins of cymbals be traced back to prehistoric times?,Yes,easy,easy
When was Volta made a count by Napoleon?,Volta was made a count by Napoleon in 1810.,,medium
Are turtles a part of the Flying Spaghetti Monster?,*shrug*,easy,easy
Is it true that he sent in federal troops to chicago?,yes,,easy
Do wolves leave their pack?,Yes,easy,medium
What fictional stories include a main character named Santiago?,"Gears of War, Rainbow Six: Covert Operations Essentials, Death Foretold by Gabriel García Márquez, Ernest Hemingway's The Old Man and the Sea, the television series Babylon 5, Anne Rice's novel Interview with the Vampire, aulo Coelho's The Alchemist (novel), the television show Friday Night Lights",hard,hard
Does the Portuguese language have its roots in the Latin language?,"Yes, Portuguese is derived from Latin.",easy,hard
What was built to play in both B and A keys?,piccolo trumpets,hard,medium
In what year did he become a professor of physics at the Royal School in Como?,1774,,medium
Do otters enjoy playing?,Yes,hard,hard
"Where does the word ""violin"" come from?",the Middle Latin word vitula,medium,medium
Why is Arabic related to Islam?,Arabic is the liturgical language of Islam,hard,hard
How is Singapore's climate characterized?,"Its climate is characterized by uniform temperature and pressure, high humidity, and abundant rainfall",hard,medium
How many people speak Turkish worldwide?,There are roughly another 10 million native speakers worldwide.,easy,medium
Is it often called just Petersburg (-RRB- and is informally known as Piter (-RRB-?,Yes,,easy
Do giant pandas attack humans?,yes,easy,easy
Who was Pascal's younger sister?,Jacqueline,medium,medium
He published a collection of what?,observations,,medium
What suborder of turtles is extinct?,Paracryptodira,medium,medium
Is the National Palace Museum in Taipei?,Yes,easy,easy
"Is he best known for developing Coulomb's law, the definition of the electrostatic force of attraction and repulsion?",Yes,,easy
Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?,English does not have an identical grammatical category,hard,hard
What are vehicles that frequent isolated roads often fitted with?,roo bars,medium,medium
Which part of the strings does the left hand touch?,The lower strings,medium,medium
Did Faraday receive an extensive formal education?,no,easy,medium
How much of the population is of white European descent?,88%,medium,easy
"In what year were the ""Games of the XV Olympiad"" held?",1952,medium,medium
"Is it true that romania has a population of 21,698,181?",Yes,,easy
Were Newton's religious views consistent with Anglicanism?,No.,hard,hard
How much area does Dhaka cover?,1462.60 square kilometers,medium,medium
Does it snow in Ottawa?,yes,easy,easy
What do tigers' powerfully built legs and shoulders allow tigers to do?,have the ability to pull down prey substantially heavier than themselves,medium,medium
Is the Trumpeter Swan the largest bird?,It is the largest bird of North America.,easy,easy
What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,,medium
Which temperature scale did Celsius propose?, the Celsius temperature scale ,easy,medium
What is the Sanskrit word for swan?,hamsa or hansa,medium,medium
How do rock and roll drummers like their drumheads?,drums that sound loud and deep,hard,hard
Are harvesting wild turtles legal anywhere?,yes,easy,easy
"Before 1796, was Lombardy ruled by Austria?",yes,,medium
What company administers Leichtenstein's railways?,Austrian Federal Railways,hard,medium
What was the name of James Watt's mother?,Agnes Muirhead,easy,hard
Who manages Candlestick point,California State Park system,medium,medium
What kind of words have been borrowed from Chinese?,Words that denote abstract ideas in the same way European languages borrow form Latin and Greek.,hard,medium
How many living species of Asian Elephants are there?,1,hard,hard
"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes,,easy
Did the Occult influence Newton's theory of gravitation?,Yes.,hard,hard
What cello manufacturer should I buy from if I want to play outside?,Luis & Clark,hard,hard
How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,The government of the People's Republic of China refers to all divisions of the Sinitic language(s) besides Standard Mandarin as fangyan.,medium,hard
Are certain species of beetles considered pests?,Yes,easy,easy
Give an example of the highest growth rates of any city in Africa. ," The growth rate of Nairobi is currently 6.9%,  an example of the highest growth rates of any city in Africa.",,hard
"Are his last words often quoted as "" Thomas Jefferson survives "" . ?",yes,,easy
"Have most otters fish as the primary item in their diet , supplemented by frogs , crayfish and crabs ?",yes,,easy
What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel",medium,hard
What was the name of James Watt's mother?,Agnus Muirhead,easy,medium
What are dark leopards known as colloquially?,Black Panthers,hard,hard
What may happen to red fire ants if we use boiling water on the queen?,nests of red fire ants may be destroyed,hard,medium
Has another US President been an Eagle Scout?,no,hard,hard
When did he become a professor?,1820,,medium
How old is the oldest known representation of a guitar-like intrument being played?,"3,300 years old",hard,hard
"In Turkish, which syllable usually has the stress?",Stress is usually on the last syllable,easy,easy
How many suborders are turtles divided into?,three,medium,medium
Was Newton admitted into Havard College?,No.,easy,easy
How did early naturalists distinguish between leopards and panthers?,"By the length of the tail, panthers having longer tails than leopards",hard,hard
Is the Giant Panda an endangered species?,Yes,easy,easy
Was Amedeo Avogadro was born in Turin?,Yes,easy,easy
Where is Uruguay's oldest church?,"San Carlos, Maldonado",medium,medium
Wasn't Malay language found in Sumatra?,The Malay language was found in Sumatra.,,easy
Who made Volta a count?,Napoleon,medium,medium
What economic uses to ducks have?,"They can be farmed for meat, eggs, and feathers",medium,hard
Who was Avogadro's wife?,Felicita Mazz,hard,hard
What is the largest religious group in Canada?,Christian,hard,hard
"Whad did Celsius report in his paper ""Observations of two persistent degrees on a thermometer""?",the freezing point is independent of latitude,medium,medium
Where was the largest elephant ever recorded shot?,The largest elephant ever recorded was shot in Angola in 1956.,medium,medium
How many parts of speech are there in Malay?,Four,medium,easy
Is Swedish a descendant of Old Norse?,Yes.,easy,easy
How much do sea otters weigh?,30 kg (about 65 pounds),medium,medium
Why does Arabic heavily influence European languages?,"Arabic was a major vehicle of culture in Europe, and the Arab and European civilizations are geographically close.",hard,hard
"Who was the first gymnast to score a perfect ""ten""?",Nadia Comăneci,medium,medium
Are otters totem animals?,Yes,easy,easy
Did he become a professor before the revolutionary movements against the king of Sardinia?,Yes,hard,hard
Did eucalypt forests grow in the place of rainforests?,"Yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests.",,easy
What do most recognizable international company and largest employer have in common?,They are Hilti.,,medium
"Are books, magazines, and newspapers written in English available?",yes,,easy
Wasn't Michelangelo abstemious?,Michelangelo was abstemious.,,medium
Are elephants mammals?,yes,easy,easy
Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,The pack tension rises as each mature wolf feels urged to mate,hard,hard
"Why do penguins ""tobaggan""?",It conserves energy while moving quickly,hard,hard
What Greek mythical creatures were depicted holding cymbals?,fauns and satyrs,hard,hard
Are Western flutes simpler than Indian flutes?,Yes.,hard,hard
How many square kilometres of continental land is Uruguay?,"176,214 square kilometres",medium,medium
Does Ottawa sit on the Ottowa River?,Yes,easy,easy
What do some historians of science refer to Faraday as?,the best experimentalist in the history of science,medium,medium
Have more than five Presidents lived past the age of 90?,no,hard,hard
Are otters herbivores?,No,easy,easy
Is the leopard an agile and graceful predator?,Yes,,easy
Did Faraday marry Sarah Barnard?,"Yes, Faraday married Sarah Barnard.",easy,easy
Was Cleveland 's portrait on the U.S. $ 1000 bill from 1928 to 1946 ?,yes,,easy
Did the predecessors to trumpets have valves?,No,easy,easy
Is the Adephaga suborder larger than the Polyphaga suborder?,no,hard,hard
Is the mechanism in an upright piano perpendicular to its keys?,The mechanism in upright pianos is perpendicular to the keys.,easy,easy
Is the leopard one of the four 'big cats'?,yes,easy,medium
What is a collective noun for a kangaroo?,"a mob, troop, or court",medium,medium
Where do bees live?,in colonies,medium,medium
What butterfly is migratory?,The Monarch butterfly is migratory.,medium,easy
What event marked the end of the Old Portuguese period?,The end of the Old Portuguese period was marked by the publication of the Cancioneiro Geral by Garcia de Resende.,medium,medium
How did Fillmore ascend to the presidency?,Official White House portrait of Millard FillmoreFillmore ascended to the presidency upon the sudden and unexpected death of President Taylor in July 1850.,hard,hard
Was Blaise Pascal a mathematician of the first order?,yes,easy,easy
What countries border Liechtenstein?,Switzerland and Austria.,hard,medium
What was Ottawa's name in 1850?,Bytown,hard,hard
is the central market located in the proximity of the pertama complex?,No,easy,easy
Did Albert Einstein keep a photograph of Faraday on his study wall?,yes,easy,easy
What are the three dialect regions of Vietnamese?,"The three regions are North, Central, and South.",medium,easy
How long is an adult cougar's paw print?,An adult cougar's paw print is approximately 10 cm (4 inches) long.,medium,medium
Was Amedeo Avogadro Italian?,Yes,easy,easy
Is the Museum of Gold in Lima?,Yes.,easy,hard
In what year did Henri Becquerel die?,1908,medium,medium
Why did Grant think that war was unjust?,He accepted the theory that it was designed to gain land open to slavery.,hard,medium
Does Uruguay have cold summers?,No.,easy,easy
When was Arabic calligraphy invented?,Many styles were developed after 786.,medium,hard
How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,"54,678",medium,medium
Who is the mayor of Ottawa?,Larry O'Brien,medium,medium
Is Avogadro's number used to compute the results of chemical reactions?,Yes,easy,easy
Did Grover Cleveland win the 1884 election?,yes,easy,easy
"As of August 1st, 2006, how many trains stop daily at the Beijing Railway Station or the Beijing West Railway Station?",167,hard,medium
What had the Anglo-Saxons created by the 600s?,a new S09_settlement called Lundenwic,medium,easy
Are Gray Wolves native to North America?,Yes,hard,easy
Do pandas hibernate?,no,easy,easy
What shape are the eggs of the larest species of turtle?,spherical,medium,medium
What positions Ford played in the school football team?,Center and linebacker,medium,medium
What was James Watt's father's job?,"His father was a shipwright, ship owner and contractor, and served as the town's chief baillie.",medium,hard
What is the poulation of Egypt?,78 million people,medium,hard
What is the national currency of Liechtenstein?,Swiss franc,medium,medium
Is Avogadro hailed as a founder of the atomic-molecular theory?,Yes,easy,easy
What are characteristic features of Finnish?,Vowel harmony and an agglutinative morphology,medium,medium
What are some extinct predators of the kangaroo?,The Thylacine,hard,hard
